title,adult,original_language,overview,tagline,genres,production_country,year
Diet of Sex,1,6,"Ágata suffers from a psychological disorder which prevents her from experiencing pleasure in all aspects of her life. Marc, through the use food, endeavours to help her overcome her problem.","['Comedy', 'food', 'drama and sex', 'a lot of sex']","['Comedy', 'Drama', 'Romance']",62,2014
Deep Throat,1,5,Linda's frustration with her inability to achieve orgasm causes a friend to recommend that she see a sex therapist about her problem. During the exam the therapist discovers that Linda's clitoris is located in her throat and recommends deep throating as a treatment to her ailment. Linda then goes on to experiment with this new technique as she searches for a husband.,['How far does a girl have to go to untangle her tingle?'],['Comedy'],70,1972
Monamour,1,13,"Marta is a young housewife, married to Dario, a successful book publisher. Although she still loves her husband, Marta hasn't been able to achieve sexual satisfaction for months due to their dull and predictable love life. While staying in Mantua for the Festivaletteratura, a book fair, Marta follows the advice of her scheming friend Sylvia and pursues an affair with a handsome and mysterious artist named Leon, which leads to surprising results regarding her failing marriage with Dario.","[""Discover the most hidden secrets in Marta's diary.""]",['Drama'],38,2005
Pirates,1,5,"This electrifying, swashbuckling sex-adventure takes you on a humorous and mystical journey through haunted seas and deep into the abyss of our most lustful desires... Pirates features deadly swordplay against skeleton warriors, dirty pirate whores, awe-inspiring Incan magic, grandiose sea battles, and 10 of the most arousing sex scenes in the history of erotic cinema!",['Swash and unbuckle...'],"['Adventure', 'Drama', 'Comedy']",70,2005
Private,1,13,"Lies, subterfuge, betrayal and mischief. Fallo! is a collection of six stories based on the joys of sexuality and the eroticism of a new generation of women.",['The maestro of Italian erotica is back!'],"['Comedy', 'Drama']",38,2003
Alice in Wonderland: An X-Rated Musical Fantasy,1,5,"Alice offends her would-be lover William by rejecting his advances. Upset, she falls asleep reading Alice in Wonderland. The white rabbit appears to her in a dream and takes her into a sexual wonderland. The story loosely follows Carroll's original plot, and includes many of his characters, but with considerable sexual license.","[""The world's favorite bedtime story""]","['Comedy', 'Fantasy']",70,1976
Behind the Green Door,1,5,"Gloria is kidnapped and taken to a theater where she is told that she will have ""the most exquisite moment of her life."" She shares many sexual and intimate experiences on a stage in front of a small masked audience that grows increasingly aroused as the performance progresses.",['The Mitchell Brothers Present the all American Girl'],"['Romance', 'Mystery']",70,1972
Taboo,1,5,"When Barbara Scott's  husband leaves her, blaming her frigidity for destroying their marriage, she's left alone, without a source of income, and charged with taking care of their teenage son, Paul. Feeling vulnerable, she turns to her friend Gina who opens Barbara's eyes to the secret world of suburban swingers. But as erotic tension grows, Barbara begins to fantasize about her handsome son...",['If charity begins at home... why not sex!'],"['Drama', 'Romance']",70,1981
Score,1,5,"In the mythical European city of Leisure, married couple Jack and Elvira have an ongoing bet regarding who can seduce whom. This comes up in the wake of a swinging night with a couple of tourists picked up via a newspaper ad. Elvira, a self-professed ""sexual snob"" has bet she can seduce newlywed Betsy, married to handsome marine biologist Eddie. If she fails by midnight, then Jack gets to seduce Eddie.","['A Man and a Woman and a Woman and a Man and a Man and a Woman etc.', 'etc.']","['Comedy', 'Drama', 'Romance']",71,1973
Debbie Does Dallas,1,5,"Debbie Benton is the captain of her high school cheerleading squad, and has been accepted to try out for the Texas Cowgirls. Her parents disapprove, though, and refuse to pay the fare to Texas. In a bid to help Debbie, her cheerleader friends Lisa, Roberta, Tammy, Pat, and Annie decide to accompany her to Texas. They have two weeks to raise the money, and swear off any sexual activity with their boyfriends and form a company, called ""Teen Services"", offering help.",['Everyone on the team scores when her pom-poms fly!'],['Comedy'],70,1978
The Image,1,5,"Jean discovers that Anne cannot get enough of being humiliated by her mistress, Claire. Gentleman that he is, he decides to partake in the activities. Ultimately, Claire surrenders to him as well.",['Beyond The Story of O!'],['Drama'],70,1975
